0,0,17466,0,71040
0.01,30,17436,792,70248
0.02,86,17380,936,70104
0.03,144,17322,1104,69936
0.04,204,17262,1256,69784
0.05,254,17212,1408,69632
0.06,294,17172,1504,69536
0.07,324,17142,1576,69464
0.08,390,17076,1768,69272
0.09,410,17056,1816,69224
0.1,474,16992,2008,69032
0.11,500,16966,2080,68960
0.12,552,16914,2224,68816
0.13,614,16852,2400,68640
0.14,668,16798,2544,68496
0.15,728,16738,2712,68328
0.16,798,16668,2904,68136
0.17,876,16590,3096,67944
0.18,912,16554,3192,67848
0.19,958,16508,3320,67720
0.2,1000,16466,3416,67624
0.21,1040,16426,3512,67528
0.22,1076,16390,3608,67432
0.23,1146,16320,3800,67240
0.24,1190,16276,3920,67120
0.25,1238,16228,4056,66984
0.26,1318,16148,4272,66768
0.27,1336,16130,4320,66720
0.28,1374,16092,4424,66616
0.29,1424,16042,4568,66472
0.3,1478,15988,4712,66328
0.31,1508,15958,4784,66256
0.32,1538,15928,4856,66184
0.33,1574,15892,4960,66080
0.34,1606,15860,5032,66008
0.35,1652,15814,5152,65888
0.36,1678,15788,5200,65840
0.37,1700,15766,5256,65784
0.38,1764,15702,5424,65616
0.39,1812,15654,5576,65464
0.4,1894,15572,5816,65224
0.41,1944,15522,5960,65080
0.42,2016,15450,6152,64888
0.43,2056,15410,6272,64768
0.44,2088,15378,6376,64664
0.45,2110,15356,6424,64616
0.46,2170,15296,6568,64472
0.47,2202,15264,6640,64400
0.48,2226,15240,6712,64328
0.49,2254,15212,6792,64248
0.5,2290,15176,6888,64152
0.51,2320,15146,6936,64104
0.52,2380,15086,7104,63936
0.53,2436,15030,7272,63768
0.54,2502,14964,7464,63576
0.55,2552,14914,7584,63456
0.56,2572,14894,7632,63408
0.57,2596,14870,7704,63336
0.58,2636,14830,7808,63232
0.59,2684,14782,7928,63112
0.6,2688,14778,7936,63104
0.61,2738,14728,8080,62960
0.62,2772,14694,8152,62888
0.63,2824,14642,8296,62744
0.64,2866,14600,8416,62624
0.65,2930,14536,8608,62432
0.66,2966,14500,8704,62336
0.67,3040,14426,8896,62144
0.68,3068,14398,8968,62072
0.69,3104,14362,9072,61968
0.7,3132,14334,9144,61896
0.71,3172,14294,9248,61792
0.72,3216,14250,9376,61664
0.73,3260,14206,9496,61544
0.74,3302,14164,9592,61448
0.75,3316,14150,9616,61424
0.76,3366,14100,9760,61280
0.77,3382,14084,9808,61232
0.78,3416,14050,9904,61136
0.79,3454,14012,10000,61040
0.8,3532,13934,10216,60824
0.81,3588,13878,10360,60680
0.82,3654,13812,10552,60488
0.83,3716,13750,10728,60312
0.84,3732,13734,10776,60264
0.85,3792,13674,10944,60096
0.86,3794,13672,10952,60088
0.87,3828,13638,11024,60016
0.88,3862,13604,11120,59920
0.89,3878,13588,11168,59872
0.9,3920,13546,11288,59752
0.91,3946,13520,11360,59680
0.92,4022,13444,11552,59488
0.93,4050,13416,11624,59416
0.94,4100,13366,11768,59272
0.95,4136,13330,11864,59176
0.96,4206,13260,12056,58984
0.97,4246,13220,12152,58888
0.98,4314,13152,12344,58696
0.99,4352,13114,12440,58600
1,4388,13078,12536,58504
1.01,4424,13042,12608,58432
1.02,4476,12990,12752,58288
1.03,4516,12950,12848,58192
1.04,4580,12886,13016,58024
1.05,4616,12850,13088,57952
1.06,4676,12790,13264,57776
1.07,4758,12708,13504,57536
1.08,4774,12692,13552,57488
1.09,4812,12654,13656,57384
1.1,4846,12620,13752,57288
1.11,4880,12586,13824,57216
1.12,4934,12532,13968,57072
1.13,5004,12462,14160,56880
1.14,5066,12400,14328,56712
1.15,5110,12356,14448,56592
1.16,5124,12342,14472,56568
1.17,5158,12308,14552,56488
1.18,5196,12270,14624,56416
1.19,5230,12236,14720,56320
1.2,5288,12178,14896,56144
1.21,5338,12128,15040,56000
1.22,5388,12078,15184,55856
1.23,5440,12026,15328,55712
1.24,5488,11978,15472,55568
1.25,5522,11944,15568,55472
1.26,5564,11902,15688,55352
1.27,5608,11858,15808,55232
1.28,5644,11822,15904,55136
1.29,5672,11794,15960,55080
1.3,5702,11764,16032,55008
1.31,5736,11730,16128,54912
1.32,5780,11686,16248,54792
1.33,5810,11656,16320,54720
1.34,5838,11628,16400,54640
1.35,5892,11574,16544,54496
1.36,5936,11530,16664,54376
1.37,5964,11502,16736,54304
1.38,6028,11438,16912,54128
1.39,6054,11412,16984,54056
1.4,6072,11394,17032,54008
1.41,6094,11372,17088,53952
1.42,6122,11344,17168,53872
1.43,6158,11308,17264,53776
1.44,6202,11264,17384,53656
1.45,6226,11240,17456,53584
1.46,6302,11164,17672,53368
1.47,6330,11136,17744,53296
1.48,6362,11104,17816,53224
1.49,6400,11066,17912,53128
1.5,6430,11036,17984,53056
1.51,6456,11010,18056,52984
1.52,6504,10962,18176,52864
1.53,6578,10888,18368,52672
1.54,6618,10848,18464,52576
1.55,6638,10828,18512,52528
1.56,6654,10812,18576,52464
1.57,6676,10790,18624,52416
1.58,6706,10760,18696,52344
1.59,6742,10724,18792,52248
1.6,6776,10690,18888,52152
1.61,6840,10626,19064,51976
1.62,6868,10598,19136,51904
1.63,6906,10560,19240,51800
1.64,6956,10510,19360,51680
1.65,7002,10464,19480,51560
1.66,7062,10404,19648,51392
1.67,7100,10366,19736,51304
1.68,7128,10338,19808,51232
1.69,7146,10320,19856,51184
1.7,7176,10290,19928,51112
1.71,7200,10266,19976,51064
1.72,7232,10234,20080,50960
1.73,7262,10204,20160,50880
1.74,7278,10188,20184,50856
1.75,7318,10148,20288,50752
1.76,7346,10120,20360,50680
1.77,7416,10050,20552,50488
1.78,7456,10010,20648,50392
1.79,7506,9960,20768,50272
1.8,7532,9934,20840,50200
1.81,7558,9908,20912,50128
1.82,7570,9896,20936,50104
1.83,7580,9886,20936,50104
1.84,7632,9834,21032,50008
1.85,7674,9792,21152,49888
1.86,7706,9760,21224,49816
1.87,7750,9716,21344,49696
1.88,7788,9678,21440,49600
1.89,7848,9618,21616,49424
1.9,7894,9572,21736,49304
1.91,7926,9540,21808,49232
1.92,7968,9498,21936,49104
1.93,7998,9468,22008,49032
1.94,8044,9422,22128,48912
1.95,8076,9390,22232,48808
1.96,8104,9362,22304,48736
1.97,8132,9334,22376,48664
1.98,8186,9280,22520,48520
1.99,8214,9252,22568,48472
2,8264,9202,22688,48352
2.01,8300,9166,22792,48248
2.02,8346,9120,22912,48128
2.03,8384,9082,23016,48024
2.04,8416,9050,23088,47952
2.05,8474,8992,23256,47784
2.06,8490,8976,23304,47736
2.07,8528,8938,23400,47640
2.08,8540,8926,23432,47608
2.09,8562,8904,23480,47560
2.1,8604,8862,23576,47464
2.11,8632,8834,23656,47384
2.12,8672,8794,23760,47280
2.13,8706,8760,23856,47184
2.14,8768,8698,24024,47016
2.15,8790,8676,24072,46968
2.16,8848,8618,24216,46824
2.17,8886,8580,24312,46728
2.18,8936,8530,24472,46568
2.19,8974,8492,24568,46472
2.2,8986,8480,24600,46440
2.21,9006,8460,24648,46392
2.22,9022,8444,24696,46344
2.23,9038,8428,24744,46296
2.24,9048,8418,24776,46264
2.25,9086,8380,24872,46168
2.26,9114,8352,24944,46096
2.27,9124,8342,24968,46072
2.28,9158,8308,25064,45976
2.29,9202,8264,25184,45856
2.3,9230,8236,25256,45784
2.31,9250,8216,25304,45736
2.32,9276,8190,25376,45664
2.33,9310,8156,25472,45568
2.34,9334,8132,25544,45496
2.35,9348,8118,25576,45464
2.36,9374,8092,25624,45416
2.37,9390,8076,25672,45368
2.38,9408,8058,25720,45320
2.39,9416,8050,25744,45296
2.4,9448,8018,25816,45224
2.41,9468,7998,25872,45168
2.42,9498,7968,25944,45096
2.43,9522,7944,26016,45024
2.44,9526,7940,26016,45024
2.45,9564,7902,26112,44928
2.46,9566,7900,26112,44928
2.47,9582,7884,26136,44904
2.48,9586,7880,26152,44888
2.49,9624,7842,26248,44792
2.5,9648,7818,26320,44720
2.51,9662,7804,26344,44696
2.52,9686,7780,26424,44616
2.53,9714,7752,26496,44544
2.54,9746,7720,26568,44472
2.55,9786,7680,26688,44352
2.56,9822,7644,26784,44256
2.57,9852,7614,26872,44168
2.58,9862,7604,26904,44136
2.59,9882,7584,26960,44080
2.6,9904,7562,27008,44032
2.61,9930,7536,27088,43952
2.62,9962,7504,27160,43880
2.63,9974,7492,27200,43840
2.64,10004,7462,27280,43760
2.65,10040,7426,27376,43664
2.66,10074,7392,27448,43592
2.67,10100,7366,27520,43520
2.68,10126,7340,27608,43432
2.69,10140,7326,27640,43400
2.7,10164,7302,27704,43336
2.71,10186,7280,27768,43272
2.72,10230,7236,27888,43152
2.73,10232,7234,27904,43136
2.74,10252,7214,27952,43088
2.75,10272,7194,28000,43040
2.76,10308,7158,28096,42944
2.77,10334,7132,28144,42896
2.78,10348,7118,28168,42872
2.79,10378,7088,28240,42800
2.8,10404,7062,28320,42720
2.81,10434,7032,28392,42648
2.82,10456,7010,28448,42592
2.83,10478,6988,28504,42536
2.84,10510,6956,28584,42456
2.85,10524,6942,28632,42408
2.86,10572,6894,28760,42280
2.87,10592,6874,28816,42224
2.88,10610,6856,28864,42176
2.89,10624,6842,28888,42152
2.9,10652,6814,28968,42072
2.91,10720,6746,29168,41872
2.92,10746,6720,29248,41792
2.93,10782,6684,29352,41688
2.94,10806,6660,29424,41616
2.95,10842,6624,29520,41520
2.96,10880,6586,29600,41440
2.97,10928,6538,29720,41320
2.98,10954,6512,29792,41248
2.99,10958,6508,29816,41224
3,10992,6474,29912,41128
3.01,11034,6432,30008,41032
3.02,11056,6410,30056,40984
3.03,11084,6382,30136,40904
3.04,11128,6338,30264,40776
3.05,11156,6310,30336,40704
3.06,11190,6276,30432,40608
3.07,11246,6220,30616,40424
3.08,11274,6192,30696,40344
3.09,11302,6164,30768,40272
3.1,11362,6104,30936,40104
3.11,11380,6086,30984,40056
3.12,11400,6066,31032,40008
3.13,11424,6042,31104,39936
3.14,11446,6020,31160,39880
3.15,11476,5990,31240,39800
3.16,11524,5942,31368,39672
3.17,11566,5900,31464,39576
3.18,11592,5874,31512,39528
3.19,11610,5856,31576,39464
3.2,11664,5802,31736,39304
3.21,11682,5784,31760,39280
3.22,11720,5746,31856,39184
3.23,11728,5738,31880,39160
3.24,11780,5686,32032,39008
3.25,11812,5654,32144,38896
3.26,11870,5596,32320,38720
3.27,11892,5574,32376,38664
3.28,11906,5560,32400,38640
3.29,11948,5518,32520,38520
3.3,11984,5482,32632,38408
3.31,12010,5456,32704,38336
3.32,12032,5434,32752,38288
3.33,12052,5414,32808,38232
3.34,12060,5406,32832,38208
3.35,12068,5398,32872,38168
3.36,12106,5360,32976,38064
3.37,12136,5330,33056,37984
3.38,12160,5306,33136,37904
3.39,12178,5288,33184,37856
3.4,12198,5268,33240,37800
3.41,12214,5252,33264,37776
3.42,12234,5232,33320,37720
3.43,12282,5184,33448,37592
3.44,12306,5160,33528,37512
3.45,12324,5142,33576,37464
3.46,12338,5128,33600,37440
3.47,12350,5116,33624,37416
3.48,12364,5102,33648,37392
3.49,12382,5084,33696,37344
3.5,12420,5046,33792,37248
3.51,12430,5036,33816,37224
3.52,12476,4990,33936,37104
3.53,12490,4976,33968,37072
3.54,12534,4932,34096,36944
3.55,12552,4914,34152,36888
3.56,12576,4890,34224,36816
3.57,12598,4868,34272,36768
3.58,12620,4846,34328,36712
3.59,12648,4818,34408,36632
3.6,12668,4798,34464,36576
3.61,12706,4760,34568,36472
3.62,12728,4738,34632,36408
3.63,12750,4716,34680,36360
3.64,12762,4704,34728,36312
3.65,12778,4688,34776,36264
3.66,12804,4662,34864,36176
3.67,12834,4632,34944,36096
3.68,12864,4602,35016,36024
3.69,12882,4584,35048,35992
3.7,12904,4562,35104,35936
3.71,12904,4562,35104,35936
3.72,12922,4544,35168,35872
3.73,12946,4520,35248,35792
3.74,12960,4506,35280,35760
3.75,12970,4496,35304,35736
3.76,13004,4462,35384,35656
3.77,13040,4426,35480,35560
3.78,13066,4400,35560,35480
3.79,13078,4388,35592,35448
3.8,13084,4382,35608,35432
3.81,13092,4374,35648,35392
3.82,13110,4356,35672,35368
3.83,13126,4340,35704,35336
3.84,13154,4312,35776,35264
3.85,13172,4294,35832,35208
3.86,13184,4282,35872,35168
3.87,13214,4252,35952,35088
3.88,13238,4228,36032,35008
3.89,13266,4200,36104,34936
3.9,13282,4184,36152,34888
3.91,13310,4156,36232,34808
3.92,13348,4118,36328,34712
3.93,13350,4116,36336,34704
3.94,13372,4094,36392,34648
3.95,13390,4076,36448,34592
3.96,13414,4052,36520,34520
3.97,13434,4032,36568,34472
3.98,13456,4010,36616,34424
3.99,13486,3980,36688,34352
4,13504,3962,36736,34304
4.01,13520,3946,36792,34248
4.02,13560,3906,36928,34112
4.03,13570,3896,36952,34088
4.04,13572,3894,36968,34072
4.05,13588,3878,37016,34024
4.06,13620,3846,37128,33912
4.07,13670,3796,37272,33768
4.08,13688,3778,37328,33712
4.09,13700,3766,37360,33680
4.1,13734,3732,37464,33576
4.11,13752,3714,37528,33512
4.12,13760,3706,37552,33488
4.13,13774,3692,37592,33448
4.14,13818,3648,37712,33328
4.15,13838,3628,37768,33272
4.16,13848,3618,37808,33232
4.17,13880,3586,37920,33120
4.18,13912,3554,38024,33016
4.19,13928,3538,38048,32992
4.2,13950,3516,38096,32944
4.21,13966,3500,38152,32888
4.22,13990,3476,38240,32800
4.23,13996,3470,38248,32792
4.24,14016,3450,38304,32736
4.25,14024,3442,38352,32688
4.26,14032,3434,38376,32664
4.27,14060,3406,38448,32592
4.28,14072,3394,38472,32568
4.29,14116,3350,38600,32440
4.3,14144,3322,38672,32368
4.31,14162,3304,38736,32304
4.32,14162,3304,38744,32296
4.33,14178,3288,38776,32264
4.34,14196,3270,38832,32208
4.35,14208,3258,38856,32184
4.36,14208,3258,38872,32168
4.37,14232,3234,38952,32088
4.38,14268,3198,39056,31984
4.39,14276,3190,39080,31960
4.4,14300,3166,39128,31912
4.41,14316,3150,39176,31864
4.42,14340,3126,39256,31784
4.43,14344,3122,39256,31784
4.44,14376,3090,39328,31712
4.45,14378,3088,39336,31704
4.46,14418,3048,39464,31576
